year,Base case diesel consumed,Modeled solar power (pv)
2016,211502.403421,208585.752684
2017,211502.403421,208609.085889
2018,211502.403421,208632.23243
2019,211576.797513,208729.58789
2020,211576.797513,208752.365567
2021,211651.191605,208849.355114
2022,211725.585697,208946.163898
2023,211799.979789,209042.793364
2024,211874.373881,209139.244948
2025,211948.767973,209235.520071
2026,212023.162065,209331.620146
2027,212097.556157,209427.546574
2028,212246.344341,209597.694834
2029,212320.738433,209693.278122
2030,212395.132525,209788.691897
2031,212543.920709,209958.331605
2032,212618.314801,210053.41041
2033,212767.102984,210222.717829
2034,212915.891168,210391.861094
2035,213064.679352,210560.841519
