year,Base case cost,Modeled diesel efficiency
2019,873812.17373,1063447.5876
2020,935169.445008,1112920.52943
2021,977828.505216,1145542.90359
2022,1012048.29963,1170637.5599
2023,1033583.90137,1184342.09117
2024,1053015.63819,1196271.67285
2025,1076699.7413,1212201.47101
2026,1104640.67436,1232132.39303
2027,1126238.02319,1246424.62163
2028,1146130.25944,1259291.94426
2029,1172010.47615,1277725.14826
2030,1189412.74214,1288570.52091
2031,1217876.66566,1309588.54458
2032,1248069.50788,1332292.17821
2033,1276602.61791,1353598.16122
2034,1309432.73069,1378919.10137
2035,1329523.59916,1392764.95583
2036,1360301.92288,1416430.23909
2037,1380453.79451,1430536.24429
2038,1413443.11064,1456411.41648
