year,Base case cost,"Cold bay (unnamed stream, #4) -- unnamed creek, 3","Cold bay (unnamed stream, #2) -- unnamed creek, 2","Cold bay (russell creek, east branch downstream)"
2021,977828.505216,1183121.8195,882668.636624,1232590.75979
2022,1012048.29963,1161706.99717,870336.686365,1209320.115
2023,1033583.90137,1140339.09421,857141.387573,1186331.66709
2024,1053015.63819,1119428.24142,844116.671706,1163864.35442
2025,1076699.7413,1099223.77003,831887.61799,1142064.52185
2026,1104640.67436,1079718.02697,820450.292178,1120923.82992
2027,1126238.02319,1060456.25206,808733.666118,1100157.32061
2028,1146130.25944,1042002.36462,797553.166212,1080260.06952
2029,1172010.47615,1023912.18416,786963.995001,1060650.87899
2030,1189412.74214,1005929.2402,775845.204926,1041311.31565
2031,1217876.66566,989298.90117,766561.287369,1023179.28779
2032,1248069.50788,972803.907823,757402.288994,1005173.31875
2033,1276602.61791,957108.340349,748787.480205,988025.096291
2034,1309432.73069,942064.41858,740944.096879,971483.988985
2035,1329523.59916,926878.087268,732089.2481,955028.143096
2036,1360301.92288,912620.013417,724660.314782,939352.644571
2037,1380453.79451,898281.930901,716412.095708,923789.643542
2038,1413443.11064,884972.146389,709819.475608,909071.89069
2039,1437930.66995,871657.532136,702612.258943,894506.699022
2040,1473141.39367,859270.83814,696841.68378,880719.475551
2041,1474166.54426,845556.286001,687650.997384,866169.945526
2042,1474679.11955,831674.620005,678187.169133,851472.871418
2043,1475704.27014,818642.895097,669469.738664,837644.849569
2044,1476729.42073,805940.628083,660980.649851,824164.948817
2045,1477754.57131,793560.097669,652714.551198,811025.010469
2046,1478779.7219,781493.762334,644666.215804,798217.065792
2047,1479292.2972,769221.683905,636317.965289,785220.759518
2048,1480317.44778,757761.820762,628689.965445,773053.642601
2049,1481342.59837,746594.574942,621264.773684,761195.719257
2050,1481855.17366,735200.513465,613525.061769,749127.168031
