year,Base case cost,Modeled diesel efficiency
2019,1785313.35278,2126946.97158
2020,1912510.8811,2230770.11563
2021,1991099.30945,2290679.98828
2022,2055512.00367,2337973.16162
2023,2091621.52824,2359800.17709
2024,2127288.81867,2381482.96931
2025,2162977.23973,2403436.73729
2026,2212112.38778,2437860.66821
2027,2253909.87439,2465854.10047
2028,2289171.15463,2488140.00178
2029,2328153.73787,2514037.8864
2030,2354355.20935,2528540.19112
2031,2401049.01359,2561890.26193
2032,2448794.06727,2596409.26809
2033,2503812.63579,2637748.81616
2034,2558862.14562,2679319.868
2035,2592490.3291,2701615.59479
2036,2645862.97155,2742054.78345
2037,2671803.32867,2757744.93836
2038,2724631.10243,2798063.16802
