year,Base case cost,Allen glacier (unnamed creek) -- unnamed creek,Lake 1120 (cordova),Lake 1488 (cordova),Sheep river lakes,Sheep bay (sanlin creek),Orca creek,Meals lake (eccles creek),"Meakerville, eyak (robinson falls creek)",Snyder falls -- snyder falls creek,"Cordova (heney creek, lower)","Cordova (hartney creek, lower)",Cordova (fidalgo creek),Crater lake,Van cleve lake (cordova),"Cordova (unnamed falls) -- unnamed creek, 2","Cordova (unnamed creek) -- unnamed creek, 1",Cordova (humpback creek),Karluk (mary's creek),"Flemming creek, knights island"
2018,1531272.28044,,,,,,,,,,,,,,,,,1475339.20539,,
2019,1785313.35278,,,,,,,,,,,,,,,,,1654711.11686,,
2020,1912510.8811,,,,,,,,,,,,,,,,,1740132.57626,,
2021,1991099.30945,4250585.39992,4870635.64664,7774258.95752,7698968.77455,2521295.51625,2363203.83368,2234251.21765,2151030.62056,13510860.1043,2352619.05447,2559223.91023,3804363.97557,3821295.95719,73017098.1251,2483322.43831,10685477.9652,1789838.79318,3773276.58319,2219911.02854
2022,2055512.00367,4243927.43986,4833757.47032,7622111.30288,7550562.17215,2573565.40924,2418159.3249,2290577.29805,2170337.03158,13251502.0603,2406562.86011,2606484.86464,3790871.55571,3835668.69946,71527515.46,2532309.67428,10471789.1187,1829170.44692,3796049.66928,2277077.87594
2023,2091621.52824,4217085.82688,4781706.45875,7471332.58201,7402943.27524,2598260.10783,2445565.35345,2319587.81919,2172320.65219,12995190.7036,2433268.29755,2627297.72581,3761010.8843,3826360.56491,70086684.5846,2554747.73065,10262029.8877,1847631.70307,3793180.35155,2306776.44523
2024,2127288.81867,4191036.38106,4730877.78321,7323573.2721,7258288.16229,2622763.549,2472713.2664,2348292.68495,2174291.2876,12744403.3556,2459721.30734,2647972.60321,3731876.63744,3817545.8517,68678509.7693,2577011.97688,10056630.6578,1865808.73602,3790719.44515,2336158.20033
2025,2162977.23973,4166213.53906,4681695.79938,7179215.61448,7116980.37821,2647533.21591,2500062.11372,2377152.05938,2176702.24318,12499463.5624,2486380.80615,2668965.73154,3703904.79246,3809665.99757,67302678.7223,2599559.48725,9855942.2535,1884161.20759,3789110.38002,2365683.56682
2026,2212112.38778,4152586.90348,4641835.10321,7038542.29752,6979566.0175,2685753.47384,2540750.69349,2419164.5364,2187698.87791,12261040.1731,2526232.82687,2702923.98245,3685125.09554,3814293.0959,65950278.4437,2635070.1534,9659622.72569,1912475.61367,3800864.43334,2408422.0401
2027,2253909.87439,4134486.1054,4599043.45195,6900287.074,6844386.87695,2716987.55453,2574414.37808,2454178.48938,2194392.82774,12027145.7283,2559141.56722,2730213.80834,3662780.68897,3813369.97579,64632156.2874,2663862.92855,9467266.79324,1935417.25977,3806520.47725,2444116.27381
2028,2289171.15463,4112685.65353,4554085.96394,6765175.83303,6712170.05997,2742031.43435,2601850.60334,2482992.39193,2197576.17747,11798451.4431,2585904.3389,2751630.02265,3637647.51657,3807677.66742,63348391.1894,2686733.40823,9279571.08086,1953784.15167,3806861.39764,2473564.98518
2029,2328153.73787,4093989.00815,4511471.7705,6630328.6294,6580298.93984,2770901.78701,2633030.37042,2515436.96616,2202226.87534,11572467.4785,2616339.38684,2776651.88938,3614589.07864,3805621.65121,62086954.2052,2713193.81995,9093033.1176,1974194.94721,3811231.72481,2506669.78023
2030,2354355.20935,4067009.66558,4463233.15328,6498766.49411,6451402.50632,2787444.20249,2651871.30749,2535642.76838,2199739.18874,11351497.4915,2634593.17328,2789928.3008,3585132.28194,3793428.1637,60863025.3813,2727845.50195,8911536.95492,1985597.16771,3804453.60807,2527455.47845
2031,2401049.01359,4056426.62576,4428327.46551,6371033.30949,6326681.10481,2824338.30675,2690936.65593,2575820.77573,2210201.80473,11137143.1657,2672847.23647,2822797.11422,3569104.06001,3799771.41038,59655252.7414,2762107.53969,8734114.33832,2012172.33595,3817546.07621,2568309.89903
2032,2448794.06727,4047915.9103,4395849.93017,6247214.78588,6205828.35063,2862491.26395,2731205.5534,2617163.00804,2222070.73729,10928775.2599,2712309.55366,2856968.8476,3555093.78131,3807939.86416,58475909.6743,2797642.86246,8561715.29513,2039929.45748,3832393.43266,2610319.31421
2033,2503812.63579,4045961.98098,4369134.08824,6126934.23354,6088599.699,2908002.73007,2778755.40345,2665677.14446,2238924.72297,10726190.2666,2758981.10062,2898273.98688,3546616.50171,3823221.6056,57319786.1966,2840298.7508,8393640.16641,2073269.99218,3854754.02526,2659526.94254
2034,2558862.14562,4045012.76784,4343762.30727,6009415.39006,5974088.87408,2953743.12403,2826481.43931,2714329.96425,2256148.26903,10528342.7694,2805833.3204,2939850.07966,3539092.0763,3839272.39335,56189803.7164,2883197.3305,8229384.28994,2106766.11734,3877816.60283,2708864.45146
2035,2592490.3291,4028734.79015,4306820.89405,5892737.49831,5859982.94791,2978608.76763,2853351.86523,2742302.48904,2260186.79005,10332600.4723,2832063.26457,2961396.87416,3519100.28163,3837370.79093,55096269.538,2905990.71228,8067893.05227,2124415.86952,3881455.44358,2737407.09981
2036,2645862.97155,4027988.3218,4282306.87228,5778812.80443,5748981.56982,3023054.45429,2899681.38943,2789486.40875,2276387.0824,10142160.854,2877527.63368,3001759.37897,3511678.4953,3853169.4258,54015008.676,2947621.15152,7909272.63031,2156475.72922,3904136.42426,2785258.71724
2037,2671803.32867,4007571.94817,4243009.30656,5666126.4064,5638653.35329,3040723.21835,2919279.06614,2810186.13859,2276011.27845,9953912.65543,2896569.60414,3016456.64923,3488421.22572,3845887.36458,52973794.4983,2963495.63511,7754063.3267,2168490.35995,3901799.77691,2806476.6544
2038,2724631.10243,4008073.14972,4220367.62536,5556683.67946,5532053.16323,3084988.49273,2965331.08981,2857023.52274,2292290.03692,9771592.06121,2941764.73246,3056716.1032,3482151.64101,3862499.84493,51940052.5291,3004970.99817,7601871.61253,2200234.8069,3925171.15559,2853965.53201
2039,2763650.66429,3999058.76468,4190796.91677,5448921.82364,5426832.73624,3115856.88901,2997986.4886,2890572.26547,2300331.74993,9592263.70137,2973719.85618,3084152.27962,3468261.7682,3867791.76904,50937273.7439,3033565.78193,7452894.00954,2221917.23639,3936225.17758,2888087.30367
2040,2822486.37838,4005563.53572,4173611.9575,5343749.16639,5324556.6455,3166359.93338,3050160.14288,2943394.79714,2320577.70131,9417903.49079,3024968.17474,3130455.14414,3466934.02667,3890791.91784,49944586.4094,3081051.04025,7306531.94638,2258070.70817,3966335.11497,2941581.19821
2041,2816982.60083,3965692.34088,4121764.27415,5241868.46395,5224224.67523,3153868.62127,3039530.25366,2934088.48062,2303123.04703,9246291.36855,3014179.92545,3116480.62088,3428893.19598,3859238.21464,49017580.9411,3068073.97194,7167327.38603,2248167.69005,3937148.20654,2932585.55789
2042,2811155.07165,3926302.87996,4070679.02339,5141922.8418,5125791.48688,3141217.32772,3028696.75595,2924547.5344,2285624.73953,9078248.65512,3003191.77921,3102380.8789,3391291.20008,3827971.30434,48111849.3953,3054948.30708,7030932.68302,2238044.02741,3908192.61932,2923348.0064
2043,2805651.2941,3888023.78022,4020978.2545,5044506.86907,5029852.5002,3129049.71812,3018304.3375,2915417.3732,2268723.71813,8914331.6203,2992648.33683,3088798.76896,3354757.67156,3797624.3825,47227533.1494,3042317.44429,6897921.90671,2228344.80725,3880102.8488,2914514.12912
2044,2799823.76493,3850189.10018,3971989.60059,4948921.33598,4935709.33632,3116714.54041,3007702.74492,2906048.45373,2251766.06791,8753803.64318,2981899.25993,3075082.24325,3318627.65092,3767535.97002,46363490.3112,3029529.87087,6767575.82292,2218420.16611,3852218.68567,2905434.54939
2045,2794643.739,3813752.09156,3924660.03956,4856087.01097,4844283.57497,3105179.38908,2997860.54777,2897410.03889,2235716.78335,8597548.96385,2971913.03514,3062198.11929,3283855.34873,3738663.67567,45520209.4132,3017552.92686,6640795.64826,2209239.05436,3825498.97855,2897078.6929
2046,2789787.46469,3778371.41876,3878642.10809,4765630.83151,4755202.946,3094116.93734,2988451.37168,2889176.43152,2220245.9982,8445158.84192,2962363.20704,3049818.31141,3250100.36587,3710670.41948,44696895.2204,3006059.03694,6517189.22354,2200475.4695,3799607.8584,2889121.02142
2047,2785254.942,3744029.91434,3833912.65614,4677504.65469,4668420.08016,3083523.69475,2979472.65602,2881345.73214,2205347.74267,8296550.30178,2953247.13592,3037938.58825,3217346.44921,3683543.18881,43893087.4178,2995044.46802,6396689.76161,2192127.214,3774533.49488,2881559.79068
2048,2781369.92255,3711034.5604,3790772.82194,4591985.20523,4584212.45787,3073720.00336,2971245.65114,2874239.83693,2191339.93698,8151966.04282,2944885.99483,3026878.56817,3185901.47399,3657593.02426,43108660.1123,2984829.32513,6279555.77508,2184515.89288,3750588.08347,2874717.04844
2049,2777161.15148,3678397.72787,3748229.27024,4508055.30989,4501563.64377,3063731.27914,2962796.65986,2866885.67933,2177245.63231,8010355.66857,2936306.01116,3015662.96043,3154778.6832,3631836.2596,42342203.0033,2974438.79279,6164752.3079,2176668.15528,3726789.08557,2867619.87617
2050,2773276.13203,3646750.93046,3706907.94268,4426317.63228,4421077.02202,3054201.77435,2954770.80048,2859928.99344,2163706.77175,7872289.39993,2928152.22953,3004935.32724,3124610.44214,3606908.27827,41593934.8631,2964516.89728,6052864.65868,2169229.45769,3703772.98579,2860914.15251
