year,Base case cost,Modeled wind power
2019,1785313.35278,2195080.25028
2020,1912510.8811,2274929.5415
2021,1991099.30945,2317925.57489
2022,2055512.00367,2350371.66328
2023,2091621.52824,2361379.92516
2024,2127288.81867,2372305.85989
2025,2162977.23973,2383604.39786
2026,2212112.38778,2405444.49988
2027,2253909.87439,2421906.32976
2028,2289171.15463,2433783.48599
2029,2328153.73787,2448077.4094
2030,2354355.20935,2453150.78898
2031,2401049.01359,2474148.75818
2032,2448794.06727,2496495.68552
2033,2503812.63579,2524782.65935
2034,2558862.14562,2553384.49219
2035,2592490.3291,2565714.85864
2036,2645862.97155,2593187.85138
2037,2671803.32867,2599989.77371
2038,2724631.10243,2627440.5375
