year,Base case diesel consumed,Modeled residential ashp
2017,179631.880075,-756643.265384
2018,177709.004255,-758566.141204
2019,175786.128435,-760489.017024
2020,173622.893138,-762652.252321
2021,171459.657841,-764815.487618
2022,169296.422544,-766978.722916
2023,167133.187246,-769141.958213
2024,164729.592472,-771545.552988
2025,162325.997697,-773949.147762
2026,160162.7624,-776112.383059
2027,157759.167625,-778515.977834
2028,155595.932328,-780679.213131
2029,152230.899643,-784044.245816
2030,149346.585914,-786928.559546
2031,146702.631661,-789572.513798
