year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,32508.85,2397481.44,3750079.24,42343.96,6768563.39,1795034.06
2018,35387.11,2622045.68,3960024.63,42947.2,6898006.31,1812443.57
2019,39361.15,2929781.86,4256180.96,43847.87,7075391.06,1841697.18
2020,41243.85,3087808.55,4375745.61,44149.7,7166480.52,1845632.79
2021,42357.75,3187614.88,4428468.09,44270.19,7224010.71,1840515.55
2022,43231.81,3270786.82,4460836.42,44322.01,7271952.53,1832664.38
2023,43643.38,3320689.99,4456104.54,44240.57,7300717.62,1819768.66
2024,44024.82,3370593.15,4443536.0,44133.89,7329482.72,1804467.05
2025,44414.03,3420496.31,4429464.1,44041.09,7358247.81,1788989.05
2026,45011.74,3487033.87,4437218.78,44004.71,7396601.27,1777904.2
2027,45471.44,3545254.23,4428187.48,43916.38,7430160.54,1763190.53
2028,45846.24,3595157.39,4416126.72,43827.27,7458925.64,1749434.95
2029,46189.23,3653377.75,4376162.22,43638.72,7492484.91,1725146.18
2030,46362.68,3694963.72,4332168.35,43440.86,7516455.82,1703011.71
2031,46851.48,3761501.27,4316645.23,43335.24,7554809.28,1686222.85
