year,Base case diesel consumed,Allen glacier (unnamed creek) -- unnamed creek,Lake 1120 (cordova),Lake 1488 (cordova),Sheep river lakes,Sheep bay (sanlin creek),Orca creek,Meals lake (eccles creek),"Meakerville, eyak (robinson falls creek)",Snyder falls -- snyder falls creek,"Cordova (heney creek, lower)","Cordova (hartney creek, lower)",Cordova (fidalgo creek),Crater lake,Van cleve lake (cordova),"Cordova (unnamed falls) -- unnamed creek, 2","Cordova (unnamed creek) -- unnamed creek, 1",Cordova (humpback creek),Karluk (mary's creek),"Flemming creek, knights island"
2018,696032.854743,,,,,,,,,,,,,,,,,494083.34799,,
2019,694674.456335,,,,,,,,,,,,,,,,,492724.949581,,
2020,692938.725035,,,,,,,,,,,,,,,,,490989.218282,,
2021,691353.926891,500944.391953,374004.701993,0.0,0.0,678272.730858,675656.49165,667807.774032,398584.841958,0.0,667177.68594,648482.9316,393102.657294,589582.221734,0.0,650271.627232,0.0,489404.420138,641645.38196,671732.132838
2022,689769.128748,499359.593809,372419.90385,-1584.79814344,-1584.79814344,676687.932714,674071.693507,666222.975889,397000.043815,-1584.79814344,665592.887796,646898.133457,391517.85915,587997.423591,-1584.79814344,648686.829088,-1584.79814344,487819.621995,640060.583817,670147.334695
2023,688033.397448,497623.862509,370684.17255,-3320.52944339,-3320.52944339,674952.201415,672335.962207,664487.244589,395264.312515,-3320.52944339,663857.156497,645162.402157,389782.12785,586261.692291,-3320.52944339,646951.097788,-3320.52944339,486083.890695,638324.852517,668411.603395
2024,686222.19957,495812.664631,368872.974672,-5131.72732161,-5131.72732161,673141.003536,670524.764329,662676.046711,393453.114637,-5131.72732161,662045.958618,643351.204279,387970.929972,584450.494412,-5131.72732161,645139.89991,-5131.72732161,484272.692817,636513.654639,666600.405517
2025,684486.46827,494076.933331,367137.243372,-6867.45862156,-6867.45862156,671405.272236,668789.033029,660940.315411,391717.383337,-6867.45862156,660310.227318,641615.472979,386235.198672,582714.763112,-6867.45862156,643404.16861,-6867.45862156,482536.961517,634777.923339,664864.674217
2026,682750.73697,492341.202031,365401.512072,-8603.18992152,-8603.18992152,669669.540936,667053.301729,659204.584111,389981.652037,-8603.18992152,658574.496018,639879.741679,384499.467372,580979.031813,-8603.18992152,641668.43731,-8603.18992152,480801.230217,633042.192039,663128.942917
2027,680939.539091,490530.004153,363590.314194,-10414.3877997,-10414.3877997,667858.343058,665242.10385,657393.386233,388170.454159,-10414.3877997,656763.29814,638068.543801,382688.269494,579167.833934,-10414.3877997,639857.239432,-10414.3877997,478990.032338,631230.99416,661317.745039
2028,679279.27437,488869.739431,361930.049472,-12074.6525214,-12074.6525214,666198.078336,663581.839129,655733.121511,386510.189437,-12074.6525214,655103.033418,636408.279079,381028.004772,577507.569213,-12074.6525214,638196.97471,-12074.6525214,477329.767617,629570.729439,659657.480317
2029,676788.877287,486379.342349,359439.65239,-14565.049604,-14565.049604,663707.681254,661091.442046,653242.724428,384019.792354,-14565.049604,652612.636336,633917.881996,378537.60769,575017.17213,-14565.049604,635706.577628,-14565.049604,474839.370534,627080.332356,657167.083234
2030,674600.346518,484190.811579,357251.12162,-16753.5803735,-16753.5803735,661519.150484,658902.911277,651054.193659,381831.261585,-16753.5803735,650424.105566,631729.351227,376349.07692,572828.641361,-16753.5803735,633518.046858,-16753.5803735,472650.839765,624891.801587,654978.552465
2031,672562.748905,482153.213966,355213.524007,-18791.1779865,-18791.1779865,659481.552871,656865.313664,649016.596046,379793.663972,-18791.1779865,648386.507953,629691.753614,374311.479307,570791.043748,-18791.1779865,631480.449245,-18791.1779865,470613.242152,622854.203974,652940.954852
2032,670902.484183,480492.949244,353553.259285,-20451.4427082,-20451.4427082,657821.28815,655205.048942,647356.331324,378133.39925,-20451.4427082,646726.243232,628031.488892,372651.214585,569130.779026,-20451.4427082,629820.184524,-20451.4427082,468952.97743,621193.939252,651280.69013
2033,669468.619196,479059.084257,352119.394298,-21885.3076951,-21885.3076951,656387.423163,653771.183955,645922.466337,376699.534263,-21885.3076951,645292.378245,626597.623905,371217.349598,567696.914039,-21885.3076951,628386.319537,-21885.3076951,467519.112443,619760.074265,649846.825143
2034,668110.220787,477700.685849,350760.99589,-23243.7061037,-23243.7061037,655029.024754,652412.785546,644564.067929,375341.135855,-23243.7061037,643933.979836,625239.225497,369858.95119,566338.51563,-23243.7061037,627027.921128,-23243.7061037,466160.714034,618401.675856,648488.426735
2035,666449.956066,476040.421127,349100.731168,-24903.9708254,-24903.9708254,653368.760032,650752.520825,642903.803207,373680.871133,-24903.9708254,642273.715114,623578.960775,368198.686468,564678.250909,-24903.9708254,625367.656406,-24903.9708254,464500.449313,616741.411135,646828.162013
2036,664789.691344,474380.156405,347440.466446,-26564.2355471,-26564.2355471,651708.495311,649092.256103,641243.538485,372020.606411,-26564.2355471,640613.450393,621918.696053,366538.421746,563017.986187,-26564.2355471,623707.391685,-26564.2355471,462840.184591,615081.146413,645167.897291
