year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,8669.5373303,5635.19926469
2018,8669.44439975,5635.13885984
2019,8669.35252342,5635.07914022
2020,8669.24516756,5635.00935891
2021,8669.11511284,5634.92482335
2022,8668.97514322,5634.83384309
2023,8668.81354229,5634.72880249
2024,8668.64378792,5634.61846215
2025,8668.45902108,5634.4983637
2026,8668.26484643,5634.37215018
2027,8668.05038825,5634.23275236
2028,8667.83226036,5634.09096923
2029,8667.65654104,5633.97675167
2030,8667.45794938,5633.84766709
2031,8667.23423017,5633.70224961
