year,Base case diesel consumed,Modeled residential ashp
2017,8630.45735594,3781.667005
2018,8630.45735594,3781.667005
2019,8630.45735594,3781.667005
2020,8630.45735594,3781.667005
2021,8630.45735594,3781.667005
2022,8630.45735594,3781.667005
2023,6721.0884886,1872.29813767
2024,6721.0884886,1872.29813767
2025,6721.0884886,1872.29813767
2026,6721.0884886,1872.29813767
2027,6721.0884886,1872.29813767
2028,6721.0884886,1872.29813767
2029,6721.0884886,1872.29813767
2030,6721.0884886,1872.29813767
2031,6721.0884886,1872.29813767
