year,Base case diesel consumed,Modeled residential ashp
2017,4178.65211304,-23951.9232859
2018,4045.39283152,-24085.1825674
2019,4045.39283152,-24085.1825674
2020,4045.39283152,-24085.1825674
2021,4045.39283152,-24085.1825674
2022,4045.39283152,-24085.1825674
2023,4045.39283152,-24085.1825674
2024,4045.39283152,-24085.1825674
2025,3912.13355,-24218.4418489
2026,3912.13355,-24218.4418489
2027,3912.13355,-24218.4418489
2028,3912.13355,-24218.4418489
2029,3778.87426847,-24351.7011304
2030,3778.87426847,-24351.7011304
2031,3778.87426847,-24351.7011304
