year,Base case cost,Modeled non-residential energy efficiency
2017,462559.284358,438065.002999
2018,478281.287506,450798.977346
2019,500050.21494,468863.450193
2020,510329.986229,476871.486688
2021,516981.602945,481719.848127
2022,522423.834804,485530.234352
2023,526656.681805,488302.102771
2024,529680.143948,490034.923365
2025,533308.298521,492319.870306
2026,538145.837951,495687.002124
2027,541773.992523,498013.569764
2028,544797.454667,499829.655102
2029,549030.301668,502726.479195
2030,552053.763812,504581.326822
2031,556286.610813,507516.004691
