year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,55730.44,6477.76,31958.26,28130.58
2018,55730.44,6477.42,31958.26,27233.48
2019,55730.44,6476.89,31958.26,27233.48
2020,55730.44,6476.06,31958.26,27233.48
2021,55730.44,6475.15,31958.26,27233.48
2022,55730.44,6474.03,31958.26,27233.48
2023,55730.44,6472.77,31958.26,27233.48
2024,55730.44,6471.28,31958.26,27233.48
2025,55730.44,6469.71,31958.26,26336.38
2026,55730.44,6468.12,31958.26,26336.38
2027,55730.44,6466.61,31958.26,26336.38
2028,55730.44,6465.12,31958.26,26336.38
2029,55730.44,6463.77,31958.26,25439.28
2030,55730.44,6461.93,31958.26,25439.28
2031,55730.44,6460.24,31958.26,25439.28
