year,Base case cost,Modeled water and wastewater efficiency
2017,86616.6523664,66666.4743924
2018,89601.2958561,68604.5126479
2019,93732.4078572,71340.8783861
2020,95674.3381539,72561.6732675
2021,96924.8299829,73305.7854885
2022,97941.7880451,73890.7551994
2023,98726.5417778,74317.4507855
2024,99277.7217528,74584.8410733
2025,99942.001973,74933.3571125
2026,100835.293842,75443.351472
2027,101500.008935,75797.3694187
2028,102049.810246,76074.1813183
2029,102831.067936,76514.0127457
2030,103374.626363,76791.2689979
2031,104149.604746,77231.4073274
