year,Base case diesel consumed,Modeled diesel efficiency
2019,35281.4613979,32074.0558163
2020,35281.4613979,32074.0558163
2021,35281.4613979,32074.0558163
2022,35189.5825922,31990.5296292
2023,35189.5825922,31990.5296292
2024,35189.5825922,31990.5296292
2025,35189.5825922,31990.5296292
2026,35189.5825922,31990.5296292
2027,35097.7037864,31907.0034422
2028,35097.7037864,31907.0034422
2029,35097.7037864,31907.0034422
2030,35097.7037864,31907.0034422
2031,35005.8249807,31823.4772552
2032,35005.8249807,31823.4772552
2033,35005.8249807,31823.4772552
2034,35005.8249807,31823.4772552
2035,34913.946175,31739.9510682
2036,34913.946175,31739.9510682
2037,34913.946175,31739.9510682
2038,34913.946175,31739.9510682
