year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2005,,1.97,2.85
2008,,3.42,3.83
2009,,2.41,2.66
2010,,2.75,3.69
2011,,3.14,5.5
2012,,3.85,5.5
2013,,3.77,5.5
2014,,,
2016,start of forecast,1.63,3.18
2017,,2.01,3.56
2018,,2.29,3.84
2019,,2.68,4.23
2020,,2.87,4.42
2021,,3.0,4.55
2022,,3.1,4.65
2023,,3.17,4.72
2024,,3.23,4.78
2025,,3.29,4.84
2026,,3.38,4.93
2027,,3.45,5.0
2028,,3.51,5.06
2029,,3.58,5.13
2030,,3.63,5.18
2031,,3.72,5.27
2032,,3.81,5.36
2033,,3.89,5.44
2034,,3.99,5.54
2035,,4.05,5.6
2036,,4.14,5.69
2037,,4.2,5.75
2038,,4.29,5.84
2039,,4.37,5.92
2040,,4.47,6.02
