year,Base case diesel consumed,Modeled transmission and interties
2021,122037.203444,61018.6017219
2022,121870.940224,60935.4701119
2023,121870.940224,60935.4701119
2024,121870.940224,60935.4701119
2025,121870.940224,60935.4701119
2026,122037.203444,61018.6017219
2027,122037.203444,61018.6017219
2028,122037.203444,61018.6017219
2029,122203.466664,61101.7333318
2030,122369.729884,61184.8649418
2031,122535.993104,61267.9965518
2032,122535.993104,61267.9965518
2033,122535.993104,61267.9965518
2034,122369.729884,61184.8649418
2035,122369.729884,61184.8649418
2036,122535.993104,61267.9965518
2037,122535.993104,61267.9965518
2038,122702.256324,61351.1281618
2039,122868.519543,61434.2597717
2040,122868.519543,61434.2597717
