year,Base case cost,Port alsworth hydropower preconstruction phase -- tanalian falls,Lachbuna lake
2021,321568.031074,,20982155.3975
2022,327832.829202,,20979666.2573
2023,332707.666811,,20978174.5943
2024,336363.795018,,20977055.847
2025,340629.277926,,20975750.6419
2026,346585.65778,,20974544.7086
2027,351467.145918,,20973059.6961
2028,355128.262021,,20971945.9367
2029,361111.243991,,20970766.6055
2030,364661.795053,,20970338.0936
2031,370671.379138,,20969185.3645
2032,376185.498828,,20967537.171
2033,381699.618518,,20965888.9775
2034,386688.346432,,20963715.3922
2035,390359.438329,,20962611.6087
2036,397016.617656,,20961310.6622
2037,400692.697449,,20960211.8665
2038,406757.979713,,20959114.8356
2039,411609.540471,,20958395.7083
2040,418367.309046,,20956399.5385
2041,418367.309046,,20956399.5385
2042,418367.309046,,20956399.5385
2043,418367.309046,,20956399.5385
2044,418933.43531,,20956965.6648
2045,418933.43531,,20956965.6648
2046,419499.561573,,20957531.7911
2047,419499.561573,,20957531.7911
2048,419499.561573,,20957531.7911
2049,420065.687837,,20958097.9173
2050,420065.687837,,20958097.9173
