year,Base case cost,Modeled biomass for heat (cordwood)
2017,149477.843544,174051.503718
2018,158615.923544,180441.615675
2019,171343.963544,189494.798032
2020,177218.443544,193488.740015
2021,181461.123544,196284.299555
2022,184398.363544,198122.600445
2023,186682.883544,199486.086901
2024,188314.683544,200374.575705
2025,190272.843544,201511.835676
2026,192883.723544,203139.007999
2027,195168.243544,204531.974291
2028,196800.043544,205449.251995
2029,199410.923544,207097.257959
2030,200716.363544,207786.621855
2031,203327.243544,209447.715814
2032,,
2033,,
2034,,
2035,,
2036,,
