year,Base case diesel consumed,Modeled residential energy efficiency
2017,55116.8305145,50030.4674941
2018,56342.6306576,51256.2676373
2019,57568.4308008,52482.0677804
2020,58794.2309439,53707.8679235
2021,60020.031087,54933.6680666
2022,60020.031087,54933.6680666
2023,61245.8312302,56159.4682098
2024,62471.6313733,57385.2683529
2025,63697.4315164,58611.068496
2026,63697.4315164,58611.068496
2027,64923.2316595,59836.8686391
2028,66149.0318027,61062.6687823
2029,66149.0318027,61062.6687823
2030,67374.8319458,62288.4689254
2031,68600.6320889,63514.2690685
2032,69826.432232,64740.0692117
2033,69826.432232,64740.0692117
2034,71052.2323752,65965.8693548
2035,72278.0325183,67191.6694979
2036,72278.0325183,67191.6694979
