year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,32636.0,24131.5916297
2018,32636.0,24131.5916297
2019,32636.0,24131.5916297
2020,32636.0,24131.5916297
2021,32636.0,24131.5916297
2022,32636.0,24131.5916297
2023,32636.0,24131.5916297
2024,32636.0,24131.5916297
2025,32636.0,24131.5916297
2026,32636.0,24131.5916297
2027,32636.0,24131.5916297
2028,32636.0,24131.5916297
2029,32636.0,24131.5916297
2030,32636.0,24131.5916297
2031,32636.0,24131.5916297
2032,,
2033,,
2034,,
2035,,
2036,,
