year,Base case diesel consumed,Modeled wind power
2019,149112.77218,106109.948536
2020,149553.499586,106550.675941
2021,149920.772424,106917.948779
2022,150361.499829,107358.676184
2023,150728.772667,107725.949022
2024,151169.500073,108166.676428
2025,151610.227478,108607.403833
2026,152050.954884,109048.131239
2027,152491.682289,109488.858644
2028,153005.864262,110003.040617
2029,153446.591668,110443.768023
2030,153887.319073,110884.495428
2031,154401.501046,111398.677401
2032,154915.683019,111912.859374
2033,155356.410425,112353.58678
2034,155870.592398,112867.768753
2035,156384.774371,113381.950726
2036,156898.956344,113896.132699
2037,157486.592884,114483.769239
2038,158000.774857,114997.951212
