year,Base case cost,Modeled wind power
2019,893185.505361,1057612.29833
2020,937700.442404,1084170.17035
2021,969987.397582,1101609.88685
2022,995393.12887,1114175.50569
2023,1014404.64005,1121983.74161
2024,1029464.29549,1127106.76677
2025,1047626.67187,1134764.43653
2026,1068918.21283,1144979.34529
2027,1087265.69472,1153139.13404
2028,1104702.33997,1160907.19831
2029,1124763.51692,1170716.85381
2030,1138766.16114,1176078.47078
2031,1161099.28787,1188082.24216
2032,1183555.81827,1200348.53017
2033,1207119.309,1213491.47498
2034,1231377.67994,1227461.96846
2035,1247950.49948,1235707.24917
2036,1272450.53595,1250175.48959
2037,1289815.19572,1259462.69008
2038,1314566.44681,1274426.36345
