year,Base case cost,Modeled solar power (pv)
2016,627877.890914,642212.581643
2017,725569.527608,737961.563177
2018,797275.876476,808175.131754
2019,893185.505361,902255.127686
2020,937700.442404,945766.875158
2021,969987.397582,977250.935057
2022,995393.12887,1001982.51273
2023,1014404.64005,1020423.49142
2024,1029464.29549,1034991.8721
2025,1047626.67187,1052631.58748
2026,1068918.21283,1073369.85806
2027,1087265.69472,1091219.86245
2028,1104702.33997,1108192.28553
2029,1124763.51692,1127758.52425
2030,1138766.16114,1141361.67298
2031,1161099.28787,1163201.90056
2032,1183555.81827,1185177.21785
2033,1207119.309,1208250.53554
2034,1231377.67994,1232030.26269
2035,1247950.49948,1248236.11294
