year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,20417.53,899801.17,844639.84,114940.93,866359.62,626749.22
2018,24518.4,959448.21,914033.15,125841.77,910168.66,671352.56
2019,29628.91,1039400.62,1010541.55,139543.48,968891.42,732992.05
2020,33896.88,1074935.02,1072673.06,149184.99,994990.42,771555.05
2021,38114.08,1100316.74,1127582.14,158125.72,1013632.56,805181.91
2022,42351.52,1119353.03,1177977.22,166720.23,1027614.17,835723.67
2023,46603.71,1133312.97,1232998.46,175042.28,1037867.35,868598.93
2024,50877.19,1143465.66,1276676.95,183182.38,1045324.21,894610.01
2025,55422.32,1156156.52,1332019.39,191905.09,1054645.28,927520.53
2026,60229.28,1171385.55,1382154.08,201183.08,1065830.57,957515.79
2027,65065.33,1184076.41,1439150.59,210359.22,1075151.64,991307.76
2028,69977.22,1195498.18,1486734.0,219582.0,1083540.61,1019535.7
2029,75247.58,1209458.12,1546692.62,229523.04,1093793.79,1055042.1
2030,80352.78,1218341.72,1601667.16,238919.66,1100318.54,1087348.82
2031,86033.61,1233570.75,1664794.64,249575.4,1111503.83,1124679.83
2032,,,1728914.57,,,1162539.71
2033,,,1795624.44,,,1201915.7
2034,,,1863409.45,,,1241864.63
2035,,,1923868.55,,,1277229.99
2036,,,2003174.24,,,1323730.17
