year,Base case cost,Modeled residential energy efficiency
2017,1471389.06568,1404405.15697
2018,1585385.71016,1501586.43262
2019,1743533.59737,1638591.66145
2020,1844228.10472,1727894.19283
2021,1932764.05004,1807332.6243
2022,2013700.89411,1880636.16508
2023,2101597.38634,1962085.52028
2024,2171286.96421,2026236.12909
2025,2259539.91986,2108476.01021
2026,2339669.87052,2182116.95146
2027,2430458.34465,2267043.0149
2028,2506269.70881,2337340.74239
2029,2601734.72371,2426810.95078
2030,2689015.97725,2509271.04432
2031,2789474.47272,2603595.68121
2032,2891454.27927,2699507.74402
2033,2997540.13493,2799314.34113
2034,3105274.0776,2900832.07724
2035,3201098.53759,2991882.305
2036,3326904.41361,3111593.67975
