year,Base case diesel consumed,Modeled solar power (pv)
2016,148084.408234,145745.739575
2017,148378.226505,146058.267195
2018,148745.499343,146444.099707
2019,149112.77218,146829.783742
2020,149553.499586,147288.775055
2021,149920.772424,147674.165689
2022,150361.499829,148132.865948
2023,150728.772667,148517.967857
2024,151169.500073,148976.381701
2025,151610.227478,149434.654054
2026,152050.954884,149892.786046
2027,152491.682289,150350.778803
2028,153005.864262,150882.088004
2029,153446.591668,151339.805619
2030,153887.319073,151797.387313
2031,154401.501046,152328.28874
2032,154915.683019,152859.056411
2033,155356.410425,153316.23683
2034,155870.592398,153846.740192
2035,156384.774371,154377.112982
