year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,10072.290586,6546.98888089
2018,10070.0858683,6545.55581436
2019,10067.677592,6543.99043481
2020,10065.0989179,6542.31429666
2021,10062.3758152,6540.54427988
2022,10059.5313897,6538.69540333
2023,10056.5879484,6536.78216646
2024,10053.5675983,6534.8189389
2025,10050.4927129,6532.82026339
2026,10047.3855991,6530.80063941
2027,10044.2679644,6528.77417687
2028,10041.160784,6526.7545096
2029,10038.0839676,6524.75457892
2030,10035.055627,6522.78615752
2031,10032.0923425,6520.86002262
