year,Base case cost,Modeled biomass for heat (cordwood)
2017,251297.872534,264136.413929
2018,267433.922534,276067.655873
2019,288180.272534,291407.824087
2020,297861.902534,298566.569253
2021,304777.352534,303679.958657
2022,309387.652534,307088.884927
2023,313075.892534,309816.025943
2024,315842.072534,311861.381705
2025,319069.282534,314247.630093
2026,323218.552534,317315.663736
2027,326445.762534,319701.912125
2028,329211.942534,321747.267887
2029,332900.182534,324474.408902
2030,335205.332534,326178.872037
2031,338893.572534,328906.013053
2032,,
2033,,
2034,,
2035,,
2036,,
