year,Base case cost,Modeled non-residential energy efficiency
2017,355860.881517,365649.615162
2018,376693.579375,385261.17513
2019,403478.476621,410476.037946
2020,415978.095336,422242.973927
2021,424906.394418,430647.928199
2022,430858.593806,436251.231047
2023,435620.353316,440733.873326
2024,439191.672949,444095.855034
2025,443358.212521,448018.167028
2026,448715.19197,453061.139591
2027,452881.731542,456983.451585
2028,456453.051174,460345.433294
2029,461214.810685,464828.075572
2030,464190.910379,467629.726996
2031,468952.669889,472112.369274
