year,Base case cost,St marys heat recovery system
2019,1185452.3508,1154821.3101
2020,1228521.28564,1194587.78494
2021,1259284.81053,1222992.40983
2022,1281844.72878,1243822.46808
2023,1296201.04039,1257077.9597
2024,1310557.35201,1270333.45131
2025,1324913.66362,1283588.94292
2026,1343371.77856,1300631.71786
2027,1359778.99183,1315780.85113
2028,1374135.30345,1329036.34275
2029,1390542.51672,1344185.47602
2030,1400797.02502,1353653.68432
2031,1421306.04161,1372590.10091
2032,,
2033,,
2034,,
2035,,
2036,,
2037,,
2038,,
