year,Base case cost,Modeled non-residential energy efficiency
2017,364522.613822,354138.882652
2018,383857.497472,371270.428905
2019,411047.177604,395361.665823
2020,423735.694999,406604.243052
2021,432194.706596,414099.294538
2022,438841.072851,419988.263563
2023,443070.578649,423735.789305
2024,447300.084447,427483.315048
2025,451529.590246,431230.840791
2026,456967.526272,436049.088175
2027,461197.03207,439796.613918
2028,465426.537869,443544.139661
2029,470260.258781,447827.026224
2030,473281.334351,450503.830326
2031,478719.270378,455322.07771
