year,population
2003,134.0
2004,149.0
2005,144.0
2006,143.0
2007,139.0
2008,140.0
2009,126.0
2010,122.0
2011,124.0
2012,124.0
2013,126.0
2014,127.0
2015,127.0
2016,126.0
2017,125.0
2018,124.0
2019,123.0
2020,122.0
2021,122.0
2022,121.0
2023,121.0
2024,121.0
2025,121.0
2026,120.0
2027,119.0
2028,118.0
2029,118.0
2030,117.0
2031,117.0
2032,116.0
2033,116.0
2034,115.0
2035,115.0
2036,114.0
2037,114.0
2038,113.0
2039,112.0
2040,112.0
