year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,33939.0,25226.1639862
2018,33939.0,25226.1639862
2019,33939.0,25226.1639862
2020,33939.0,25226.1639862
2021,33939.0,25226.1639862
2022,33939.0,25226.1639862
2023,33939.0,25226.1639862
2024,33939.0,25226.1639862
2025,33939.0,25226.1639862
2026,33939.0,25226.1639862
2027,33939.0,25226.1639862
2028,33939.0,25226.1639862
2029,33939.0,25226.1639862
2030,33939.0,25226.1639862
2031,33939.0,25226.1639862
2032,,
2033,,
2034,,
2035,,
2036,,
