year,Base case diesel consumed,Modeled non-residential ashp
2017,81766.2972078,70998.9866529
2018,83018.301463,72250.9909081
2019,84270.3057182,73502.9951633
2020,85522.3099735,74754.9994186
2021,86774.3142287,76007.0036738
2022,88026.3184839,77259.007929
2023,88026.3184839,77259.007929
2024,89278.3227391,78511.0121843
2025,90530.3269944,79763.0164395
2026,91782.3312496,81015.0206947
2027,93034.3355048,82267.0249499
2028,94286.33976,83519.0292052
2029,96790.3482705,86023.0377156
2030,98042.3525257,87275.0419709
2031,99294.356781,88527.0462261
