year,Base case diesel consumed,Modeled transmission and interties
2021,87296.2516191,43648.1258096
2022,87481.9883247,43740.9941624
2023,87667.7250303,43833.8625151
2024,88039.1984414,44019.5992207
2025,88224.935147,44112.4675735
2026,88596.4085582,44298.2042791
2027,88782.1452637,44391.0726319
2028,89339.3553804,44669.6776902
2029,89525.092086,44762.546043
2030,89896.5654972,44948.2827486
2031,90268.0389083,45134.0194542
2032,90453.7756139,45226.8878069
2033,90825.249025,45412.6245125
2034,91196.7224362,45598.3612181
2035,91568.1958473,45784.0979237
2036,91939.6692585,45969.8346292
2037,92311.1426696,46155.5713348
2038,92496.8793752,46248.4396876
2039,93054.0894919,46527.0447459
2040,93239.8261975,46619.9130987
