year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2005,,2.13,3.1
2012,,4.37,0.0
2013,,4.34,6.59
2014,,,6.72
2016,start of forecast,2.11,4.31
2017,,2.52,4.72
2018,,2.81,5.01
2019,,3.22,5.42
2020,,3.41,5.61
2021,,3.55,5.75
2022,,3.65,5.85
2023,,3.72,5.92
2024,,3.77,5.97
2025,,3.84,6.04
2026,,3.92,6.12
2027,,3.99,6.19
2028,,4.05,6.25
2029,,4.13,6.33
2030,,4.17,6.37
2031,,4.26,6.46
2032,,4.34,6.54
2033,,4.43,6.63
2034,,4.52,6.72
2035,,4.58,6.78
2036,,4.67,6.87
2037,,4.72,6.92
2038,,4.81,7.01
2039,,4.88,7.08
2040,,4.98,7.18
