year,Base case cost,Modeled residential energy efficiency
2017,650520.631841,628123.066892
2018,692901.974468,663672.353255
2019,750046.582738,711157.847496
2020,782850.115003,739485.204968
2021,810356.892941,763693.748847
2022,833521.421143,784502.395578
2023,841923.087476,791254.944883
2024,859446.83451,807600.751182
2025,879600.408867,826105.208509
2026,901232.71919,845852.813656
2027,921861.378231,864832.355668
2028,941437.239299,882994.687854
2029,975919.067089,915591.810467
2030,993356.56775,932086.95854
2031,1017663.51687,954273.614332
2032,1040901.28578,975626.678067
2033,1065781.61296,998386.711927
2034,1090956.82029,1021441.62594
2035,1112187.28664,1041258.5634
2036,1137903.10758,1064854.09102
