year,Base case cost,Modeled biomass for heat (pellet)
2017,271552.754645,294843.673022
2018,292436.714645,309082.989621
2019,322602.434645,329958.943818
2020,336525.074645,339262.856345
2021,346580.314645,345822.64921
2022,354315.114645,350741.511897
2023,359729.474645,354019.107578
2024,363596.874645,356206.874517
2025,369011.234645,359511.560287
2026,375199.074645,363381.083987
2027,380613.434645,366711.604879
2028,384480.834645,368951.056595
2029,390668.674645,372857.982976
2030,394536.074645,375121.495524
2031,400723.914645,379051.918812
2032,,
2033,,
2034,,
2035,,
2036,,
