year,Base case cost,Modeled water and wastewater efficiency
2017,75302.3001068,60708.5852672
2018,80261.8485441,63994.7901682
2019,87431.7548293,68828.9209414
2020,90734.1422827,70965.974825
2021,93116.5373479,72464.4740255
2022,94945.6311977,73580.395129
2023,96221.7117147,74313.8533339
2024,97130.9491408,74794.8237605
2025,98408.5441924,75536.6697369
2026,99870.6052278,76410.8787645
2027,101147.56322,77159.2292625
2028,102056.146711,77653.6571161
2029,103516.112227,78536.4409487
2030,104433.772046,79043.8673498
2031,105898.402278,79936.3307512
