year,Base case cost,Modeled biomass for heat (cordwood)
2017,271552.754645,316332.363783
2018,292436.714645,330307.347532
2019,322602.434645,351179.787475
2020,336525.074645,360075.421799
2021,346580.314645,366144.230129
2022,354315.114645,370529.289792
2023,359729.474645,373229.850327
2024,363596.874645,374817.10176
2025,369011.234645,377578.020019
2026,375199.074645,380939.983263
2027,380613.434645,383758.463136
2028,384480.834645,385460.870174
2029,390668.674645,388906.167981
2030,394536.074645,390662.183448
2031,400723.914645,394159.833237
2032,,
2033,,
2034,,
2035,,
2036,,
