year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,77348.0,55176.7200044
2018,77348.0,55176.7200044
2019,77348.0,55176.7200044
2020,77348.0,55176.7200044
2021,77348.0,55176.7200044
2022,77348.0,55176.7200044
2023,77348.0,55176.7200044
2024,77348.0,55176.7200044
2025,77348.0,55176.7200044
2026,77348.0,55176.7200044
2027,77348.0,55176.7200044
2028,77348.0,55176.7200044
2029,77348.0,55176.7200044
2030,77348.0,55176.7200044
2031,77348.0,55176.7200044
2032,,
2033,,
2034,,
2035,,
2036,,
