year,Base case diesel consumed,Modeled residential ashp
2017,40055.5838103,5470.55430455
2018,40875.6540149,6290.62450912
2019,41695.7242194,7110.69471369
2020,42515.794424,7930.76491826
2021,43335.8646286,8750.83512282
2022,44155.9348331,9570.90532739
2023,44976.0050377,10390.975532
2024,44976.0050377,10390.975532
2025,45796.0752423,11211.0457365
2026,47436.2156514,12851.1861457
2027,48256.285856,13671.2563502
2028,49076.3560605,14491.3265548
2029,49896.4262651,15311.3967594
2030,50716.4964697,16131.4669639
2031,52356.6368788,17771.6073731
