year,Base case cost,"Eek, alaska heat recovery study"
2019,232587.870532,235460.53381
2020,240325.397186,242518.060464
2021,245787.180707,247499.843985
2022,249883.518348,251236.181626
2023,252614.410108,253727.073387
2024,254890.153242,255802.81652
2025,257621.045003,258293.708281
2026,261262.234017,261614.897295
2027,263993.125777,264105.789055
2028,266268.868911,266181.532189
2029,269454.909298,269087.572576
2030,271275.503805,270748.167083
2031,274916.692819,274069.356097
2032,,
2033,,
2034,,
2035,,
2036,,
2037,,
2038,,
