year,annotation,Electricity price ($/kwh)
2002,,0.38
2003,,0.4
2004,,0.42
2005,,0.45
2006,,0.46
2007,,0.43
2008,,0.54
2009,,0.67
2010,,0.54
2011,,0.6
2012,,0.69
2013,,0.63
2016,start of forecast,0.5
2017,,0.53
2018,,0.55
2019,,0.58
2020,,0.59
2021,,0.6
2022,,0.61
2023,,0.62
2024,,0.62
2025,,0.62
2026,,0.63
2027,,0.63
2028,,0.64
2029,,0.64
2030,,0.65
2031,,0.65
2032,,0.66
2033,,0.67
2034,,0.67
2035,,0.68
2036,,0.68
2037,,0.69
2038,,0.69
2039,,0.7
2040,,0.7
