year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,12640.21,698637.0,698637.0
2004,,12640.21,723123.0,723123.0
2005,,12640.21,741835.0,741835.0
2006,,12640.21,777086.0,777086.0
2007,,12640.21,785179.0,785179.0
2008,,12640.21,778980.0,778980.0
2009,,12640.21,772293.0,772293.0
2010,,12640.21,782961.0,782961.0
2011,,12640.21,798138.0,798138.0
2012,,12640.21,831458.0,831458.0
2013,,12640.21,843736.0,843736.0
2014,start of forecast,12640.21,831000.0,831000.0
2015,,12640.21,834000.0,834000.0
2016,,12640.21,836000.0,836000.0
2017,,12640.21,840000.0,840000.0
2018,,12640.21,842000.0,842000.0
2019,,12640.21,845000.0,845000.0
2020,,12640.21,848000.0,848000.0
2021,,12640.21,852000.0,852000.0
2022,,12640.21,854000.0,854000.0
2023,,12640.21,857000.0,857000.0
2024,,12640.21,860000.0,860000.0
2025,,12640.21,863000.0,863000.0
2026,,12640.21,868000.0,868000.0
2027,,12640.21,871000.0,871000.0
2028,,12640.21,874000.0,874000.0
2029,,12640.21,878000.0,878000.0
2030,,12640.21,881000.0,881000.0
2031,,12640.21,886000.0,886000.0
2032,,12640.21,890000.0,890000.0
2033,,12640.21,893000.0,893000.0
2034,,12640.21,897000.0,897000.0
2035,,12640.21,902000.0,902000.0
2036,,12640.21,905000.0,905000.0
2037,,12640.21,908000.0,908000.0
2038,,12640.21,912000.0,912000.0
2039,,12640.21,916000.0,916000.0
2040,,12640.21,921000.0,921000.0
