year,Base case cost,Modeled residential energy efficiency
2017,486666.498041,496238.916342
2018,515437.053573,523805.279042
2019,553089.920069,559807.955363
2020,574885.557261,580845.397068
2021,592840.514426,598265.15742
2022,608498.127993,613521.373376
2023,621752.431704,626508.07868
2024,626111.168986,630643.81729
2025,639565.631182,643830.681079
2026,663270.142434,667178.394455
2027,677101.373544,680742.027158
2028,690143.275397,693560.930339
2029,705187.700791,708293.157592
2030,717534.465616,720461.523479
2031,742510.571951,745080.831938
2032,759097.864429,761311.32654
2033,774872.279594,776773.543563
2034,792837.602756,794337.469115
2035,806915.619122,808192.486808
2036,824221.127341,825141.197152
