year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2004,,1.68,3.57
2006,,1.86,4.99
2008,,3.08,4.99
2009,,3.8,4.95
2010,,2.51,5.29
2011,,2.79,5.62
2012,,3.51,7.03
2013,,3.56,6.43
2014,,,6.57
2016,start of forecast,1.91,4.11
2017,,2.27,4.47
2018,,2.54,4.74
2019,,2.91,5.11
2020,,3.08,5.28
2021,,3.2,5.4
2022,,3.29,5.49
2023,,3.35,5.55
2024,,3.4,5.6
2025,,3.46,5.66
2026,,3.54,5.74
2027,,3.6,5.8
2028,,3.65,5.85
2029,,3.72,5.92
2030,,3.76,5.96
2031,,3.84,6.04
2032,,3.92,6.12
2033,,3.99,6.19
2034,,4.08,6.28
2035,,4.13,6.33
2036,,4.21,6.41
2037,,4.26,6.46
2038,,4.34,6.54
2039,,4.4,6.6
2040,,4.49,6.69
