year,Base case diesel consumed,"Eek, alaska heat recovery study"
2019,45514.8626746,41514.8626746
2020,45514.8626746,41514.8626746
2021,45514.8626746,41514.8626746
2022,45514.8626746,41514.8626746
2023,45514.8626746,41514.8626746
2024,45514.8626746,41514.8626746
2025,45514.8626746,41514.8626746
2026,45514.8626746,41514.8626746
2027,45514.8626746,41514.8626746
2028,45514.8626746,41514.8626746
2029,45514.8626746,41514.8626746
2030,45514.8626746,41514.8626746
2031,45514.8626746,41514.8626746
