year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,45514.8626746,33542.9983792
2018,45514.8626746,33542.9983792
2019,45514.8626746,33542.9983792
2020,45514.8626746,33542.9983792
2021,45514.8626746,33542.9983792
2022,45514.8626746,33542.9983792
2023,45514.8626746,33542.9983792
2024,45514.8626746,33542.9983792
2025,45514.8626746,33542.9983792
2026,45514.8626746,33542.9983792
2027,45514.8626746,33542.9983792
2028,45514.8626746,33542.9983792
2029,45514.8626746,33542.9983792
2030,45514.8626746,33542.9983792
2031,45514.8626746,33542.9983792
