year,Base case cost,Pedro bay (knutson creek),Knutson creek,Knutson creek hydroelectric project design and permitting,Pedro bay (canyon creek)
2021,97113.2970795,717133.490511,737198.183546,,977398.783078
2022,99280.1252091,702829.156864,721778.861794,,958055.138116
2023,100659.015837,688915.246252,706894.220845,,939220.025287
2024,101840.922089,675339.764939,692397.147697,,920838.682167
2025,103219.812717,662065.6448,678187.030776,,902871.337633
2026,104795.687721,649085.477618,664256.059684,,885307.943686
2027,106174.578349,636421.510218,650689.220056,,868168.168842
2028,107356.484601,624066.676654,637479.062345,,851442.429333
2029,108932.359604,611969.85487,624479.392547,,835077.145021
2030,109917.281482,600198.011472,611914.640456,,819136.880952
2031,111493.156485,588656.119948,599500.0275,,803524.266313
2032,113266.015864,577367.236187,587321.392308,,788260.066984
2033,114841.890867,566354.567043,575464.732663,,773365.253598
2034,116614.750246,555582.502519,563830.974282,,758802.032742
2035,117796.656498,545104.022077,552599.034939,,744621.251026
2036,118989.081334,534244.399983,540904.476764,,730146.10044
2037,120554.437754,524842.420673,530806.735017,,717213.331479
2038,122327.297133,515033.27743,520188.173906,,703956.151576
2039,123706.187761,505480.408702,509901.331241,,691036.059436
2040,125479.047139,496119.53522,499755.375987,,678386.882157
2041,124869.925551,486498.496721,489645.089952,,665554.609222
2042,124869.925551,477697.796401,480366.608824,,653617.937696
2043,124869.925551,469103.362962,471305.59259,,641961.032544
2044,125479.047139,461319.483068,463066.065431,,631186.457591
2045,125479.047139,453123.192711,454424.80705,,620069.566644
2046,125479.047139,445119.002561,445986.077796,,609213.227357
2047,125479.047139,437302.410923,437745.13158,,598611.333934
2048,125479.047139,429669.020449,429697.332328,,588257.922116
2049,125479.047139,422214.537451,421838.153251,,578147.168233
2050,125479.047139,414934.76911,414163.173907,,568273.385431
