year,Base case cost,Modeled wind power
2019,90415.8283154,
2020,94355.5158237,
2021,97113.2970795,
2022,99280.1252091,
2023,100659.015837,
2024,101840.922089,
2025,103219.812717,
2026,104795.687721,
2027,106174.578349,
2028,107356.484601,
2029,108932.359604,
2030,109917.281482,
2031,111493.156485,
2032,113266.015864,
2033,114841.890867,
2034,116614.750246,
2035,117796.656498,
2036,118989.081334,
2037,120554.437754,
2038,122327.297133,
