year,Base case diesel consumed,Modeled residential ashp
2017,2010.27882475,-10707.1510162
2018,2010.27882475,-10707.1510162
2019,2010.27882475,-10707.1510162
2020,2010.27882475,-10707.1510162
2021,2010.27882475,-10707.1510162
2022,2010.27882475,-10707.1510162
2023,2010.27882475,-10707.1510162
2024,2010.27882475,-10707.1510162
2025,1840.49379882,-10876.9360421
2026,1840.49379882,-10876.9360421
2027,1840.49379882,-10876.9360421
2028,1840.49379882,-10876.9360421
2029,2010.27882475,-10707.1510162
2030,2010.27882475,-10707.1510162
2031,2010.27882475,-10707.1510162
