year,Base case diesel consumed,Modeled residential energy efficiency
2017,65161.5801118,56369.0904889
2018,63991.6045884,55199.1149655
2019,62821.629065,54029.1394422
2020,61651.6535416,52859.1639188
2021,61651.6535416,52859.1639188
2022,60481.6780182,51689.1883954
2023,59311.7024949,50519.212872
2024,58141.7269715,49349.2373486
2025,56971.7514481,48179.2618252
2026,55801.7759247,47009.2863018
2027,54631.8004013,45839.3107784
2028,53461.8248779,44669.335255
2029,52291.8493545,43499.3597317
2030,51121.8738311,42329.3842083
2031,49951.8983078,41159.4086849
2032,49951.8983078,41159.4086849
2033,48781.9227844,39989.4331615
2034,48781.9227844,39989.4331615
2035,47611.947261,38819.4576381
2036,46441.9717376,37649.4821147
