year,Base case cost,Modeled biomass for heat (cordwood)
2017,909923.433464,1194309.19837
2018,995152.983464,1251828.20088
2019,1111949.03346,1332816.87691
2020,1171925.38346,1371918.1223
2021,1209805.18346,1394803.80416
2022,1241371.68346,1413141.41251
2023,1260311.58346,1422259.98437
2024,1279251.48346,1431493.06892
2025,1298191.38346,1440837.98225
2026,1323444.58346,1454960.2521
2027,1345541.13346,1466855.09586
2028,1364481.03346,1476520.01393
2029,1386577.58346,1488620.71402
2030,1402360.83346,1496152.58933
2031,1427614.03346,1510783.68373
2032,,
2033,,
2034,,
2035,,
2036,,
