year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,40832.95,2189627.16,1227939.07,26113.9,289289.63,288102.61
2018,43275.24,2315753.34,1311972.74,28259.13,311996.98,315552.84
2019,46673.88,2492329.99,1417489.68,31245.61,343787.27,351702.06
2020,48273.67,2573050.74,1476636.92,32662.79,358319.97,370734.9
2021,49448.45,2628546.26,1530214.17,33720.52,368311.21,386781.26
2022,50395.91,2673951.68,1572998.14,34572.05,376485.85,399742.59
2023,50995.29,2699176.92,1612199.18,35126.46,381027.32,410470.65
2024,51562.1,2724402.15,1645272.88,35645.37,385568.79,419845.39
2025,52241.27,2754672.43,1681414.65,36267.62,391018.55,430325.32
2026,53082.83,2789987.76,1734122.31,37049.45,397376.61,445021.86
2027,53777.71,2820258.05,1777969.69,37690.94,402826.38,457368.99
2028,54381.98,2845483.28,1812632.48,38254.4,407367.85,467261.13
2029,55072.35,2875753.56,1857409.53,38892.22,412817.61,479910.96
2030,55576.43,2895933.75,1889858.26,39367.29,416450.79,488975.97
2031,56387.41,2931249.08,1938514.13,40119.18,422808.84,502994.96
2032,,,1997900.44,,,519972.28
2033,,,2040720.86,,,532732.98
2034,,,2094358.19,,,548480.16
2035,,,2136025.95,,,559905.13
2036,,,2190874.01,,,576046.52
