year,annotation,Average Load
2003,,271.0
2004,,278.0
2005,,279.0
2006,,280.0
2007,,277.0
2008,,284.0
2009,,286.0
2010,,299.0
2011,,312.0
2012,,333.0
2013,,327.0
2014,start of forecast,330.0
2015,,333.0
2016,,336.0
2017,,339.0
2018,,342.0
2019,,346.0
2020,,349.0
2021,,353.0
2022,,356.0
2023,,360.0
2024,,363.0
2025,,367.0
2026,,372.0
2027,,376.0
2028,,380.0
2029,,383.0
2030,,387.0
2031,,391.0
2032,,395.0
2033,,399.0
2034,,404.0
2035,,407.0
2036,,411.0
2037,,415.0
2038,,420.0
2039,,424.0
2040,,428.0
