year,Base case cost,Modeled diesel efficiency
2019,526480.05629,796884.081172
2020,563309.4603,830365.357545
2021,593599.030926,857901.330841
2022,617579.805178,879702.034707
2023,636172.712828,896604.678025
2024,652434.270508,911387.912279
2025,671922.7921,929104.75009
2026,698299.937188,953083.972898
2027,719385.06882,972252.274381
2028,738633.642952,989750.978138
2029,759550.895774,1008766.66252
2030,776609.104023,1024274.12457
2031,801546.843052,1046944.79641
2032,831484.417276,1074160.77298
2033,856696.694584,1097081.02508
2034,886216.944988,1123917.61635
2035,905467.004332,1141417.6703
2036,934077.576654,1167427.2815
2037,956513.47018,1187823.54834
2038,987257.475399,1215772.644
