year,Base case diesel consumed,Unalakleet (anvik river)
2021,36352.5632535,0.0
2022,36352.5632535,0.0
2023,36352.5632535,0.0
2024,36432.9892784,80.4260248972
2025,36432.9892784,80.4260248972
2026,36432.9892784,80.4260248972
2027,36513.4153033,160.852049794
2028,36513.4153033,160.852049794
2029,36593.8413282,241.278074692
2030,36593.8413282,241.278074692
2031,36674.2673531,321.704099589
2032,36674.2673531,321.704099589
2033,36754.693378,402.130124486
2034,36754.693378,402.130124486
2035,36835.1194029,482.556149383
2036,36835.1194029,482.556149383
2037,36835.1194029,482.556149383
2038,36915.5454278,562.982174281
2039,36915.5454278,562.982174281
2040,36915.5454278,562.982174281
2041,36915.5454278,562.982174281
2042,36995.9714527,643.408199178
2043,36995.9714527,643.408199178
2044,36995.9714527,643.408199178
2045,36995.9714527,643.408199178
2046,36995.9714527,643.408199178
2047,36995.9714527,643.408199178
2048,36995.9714527,643.408199178
2049,36995.9714527,643.408199178
2050,36995.9714527,643.408199178
2051,36995.9714527,643.408199178
2052,36995.9714527,643.408199178
2053,36995.9714527,643.408199178
2054,36995.9714527,643.408199178
2055,36995.9714527,643.408199178
2056,36995.9714527,643.408199178
2057,36995.9714527,643.408199178
2058,36995.9714527,643.408199178
2059,36995.9714527,643.408199178
2060,36995.9714527,643.408199178
2061,36995.9714527,643.408199178
2062,36995.9714527,643.408199178
2063,36995.9714527,643.408199178
2064,36995.9714527,643.408199178
2065,36995.9714527,643.408199178
2066,36995.9714527,643.408199178
2067,36995.9714527,643.408199178
2068,36995.9714527,643.408199178
2069,36995.9714527,643.408199178
2070,36995.9714527,643.408199178
