year,annotation,diesel generation efficiency
2002,,12.3
2003,,12.14
2004,,12.22
2005,,12.12
2006,,11.61
2007,,12.02
2008,,12.03
2009,,11.92
2010,,11.79
2011,,11.61
2012,,11.78
2013,,12.54
2014,,12.28
2015,,12.49
2016,start of forecast,12.43
2017,,12.43
2018,,12.43
2019,,12.43
2020,,12.43
2021,,12.43
2022,,12.43
2023,,12.43
2024,,12.43
2025,,12.43
2026,,12.43
2027,,12.43
2028,,12.43
2029,,12.43
2030,,12.43
2031,,12.43
2032,,12.43
2033,,12.43
2034,,12.43
2035,,12.43
2036,,12.43
2037,,12.43
2038,,12.43
2039,,12.43
2040,,12.43
