year,Base case cost,Modeled solar power (pv)
2016,94972.6800204,98642.3242919
2017,113280.056068,116519.682753
2018,126670.989213,129573.415491
2019,145451.270287,147932.11268
2020,154156.583222,156397.197994
2021,160678.329581,162728.192893
2022,165040.637171,166935.409084
2023,168312.367864,170074.316202
2024,171235.049609,172879.693069
2025,174149.688751,175673.649301
2026,178157.317572,179545.048066
2027,181471.674058,182744.484169
2028,184027.613129,185194.250702
2029,188092.344427,189137.424852
2030,190287.974907,191238.031088
2031,194373.616972,195207.457407
2032,198407.78638,199122.252937
2033,202885.907447,203483.720211
2034,206928.923718,207412.74758
2035,209960.180597,210355.430362
