year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,7180.16,457785.0,457785.0
2004,,7180.16,469961.0,469961.0
2005,,7180.16,462985.0,462985.0
2006,,7180.16,489373.0,489373.0
2007,,7180.16,508123.0,508123.0
2008,,7180.16,427812.0,427812.0
2009,,7180.16,418535.0,418535.0
2010,,7180.16,422593.0,422593.0
2011,,7180.16,420600.0,420600.0
2012,,7180.16,431519.0,431519.0
2013,,7180.16,435376.0,435376.0
2014,,7180.16,410482.0,410482.0
2015,,7180.16,430561.0,430561.0
2016,start of forecast,7180.16,449000.0,449000.0
2017,,7180.16,450000.0,450000.0
2018,,7180.16,450000.0,450000.0
2019,,7180.16,451000.0,451000.0
2020,,7180.16,451000.0,451000.0
2021,,7180.16,452000.0,452000.0
2022,,7180.16,452000.0,452000.0
2023,,7180.16,452000.0,452000.0
2024,,7180.16,453000.0,453000.0
2025,,7180.16,453000.0,453000.0
2026,,7180.16,453000.0,453000.0
2027,,7180.16,454000.0,454000.0
2028,,7180.16,454000.0,454000.0
2029,,7180.16,455000.0,455000.0
2030,,7180.16,455000.0,455000.0
2031,,7180.16,456000.0,456000.0
2032,,7180.16,456000.0,456000.0
2033,,7180.16,457000.0,457000.0
2034,,7180.16,457000.0,457000.0
2035,,7180.16,458000.0,458000.0
2036,,7180.16,458000.0,458000.0
2037,,7180.16,458000.0,458000.0
2038,,7180.16,459000.0,459000.0
2039,,7180.16,459000.0,459000.0
2040,,7180.16,459000.0,459000.0
