year,Base case cost,Unalakleet (anvik river)
2021,160678.329581,4475192.28143
2022,165040.637171,4377996.6076
2023,168312.367864,4284028.18406
2024,171235.049609,4193264.78255
2025,174149.688751,4103859.51789
2026,178157.317572,4015439.36596
2027,181471.674058,3930446.48308
2028,184027.613129,3847343.92532
2029,188092.344427,3765502.85938
2030,190287.974907,3686489.7441
2031,194373.616972,3608319.08619
2032,198407.78638,3531145.14011
2033,202885.907447,3456134.72604
2034,206928.923718,3382368.48591
2035,209960.180597,3312081.07192
2036,214012.043731,3241565.08331
2037,216590.502089,3173990.3052
2038,221124.117113,3107047.31238
2039,224446.516201,3041809.9355
2040,229245.537107,2976655.05625
2041,229245.537107,2917388.22407
2042,229744.982721,2860009.90383
2043,229744.982721,2803488.64836
2044,229744.982721,2748292.1096
2045,229744.982721,2694389.23993
2046,229744.982721,2641749.7187
2047,229744.982721,2590343.93637
2048,229744.982721,2540142.97707
2049,229744.982721,2491118.60228
2050,229744.982721,2443243.23662
2051,229744.982721,2396489.9499
2052,229744.982721,2350832.44331
2053,229744.982721,2306245.0347
2054,229744.982721,2262702.6431
2055,229744.982721,2220180.77646
2056,229744.982721,2178655.51609
2057,229744.982721,2138103.50407
2058,229744.982721,2098501.92968
2059,229744.982721,2059828.51749
2060,229744.982721,2022061.51316
2061,229744.982721,1985179.673
2062,229744.982721,1949162.251
2063,229744.982721,1913988.98721
2064,229744.982721,1879640.09712
2065,229744.982721,1846096.25888
2066,229744.982721,1813338.60423
2067,229744.982721,1781348.70739
2068,229744.982721,1750108.5735
2069,229744.982721,1719600.63032
2070,229744.982721,1689807.71715
